ID,TÍTULO,PROPRIETÁRIO,ESTADO,SUPORTE,DATA DE INSCRIÇÃO,ÂMBITO,CONTEÚDO,PERIODICIDADE,SITUAÇÃO PP,DATA DA SITUAÇÃO,WEBSITE,DISTRITO SEDE REDAÇÃO,CONCELHO SEDE REDAÇÃO,LOCALIDADE SEDE REDAÇÃO
123525,"Archimat - Guia Técni Materiais e Equipamentos para a Arquitectura, Construção e Decoração","Europáginas - Publicações e Publicidade, Ldª",Inativo,,2000-02-21,,,Anual,Registo Cancelado,2000-09-04,,Coimbra,Coimbra,
,Economia Portuguesa / Portuguese Economy,Ministério das Finanças - DGEP,Inativo,Online,2000-02-22,Nacional,Informação Especializada,Semestral,Anotação Cancelada Oficiosamente,2014-05-19,www.dgep.pt,Lisboa,Lisboa,
,Nota Mensal de Conjuntura,Ministério das Finanças - DGEP,Inativo,Papel,2000-02-22,Nacional,,Mensal,Anotação Cancelada Oficiosamente,2009-11-02,www.dgep.pt,Lisboa,Lisboa,
123528,Studia-Scientiae Rerum Diffusio,"Ceupa - Cooperativa de Desenvolvimento Universitário e Politécnico do Algarve, CRL",Inativo,Online,2000-02-22,Regional,Informação Especializada,Anual,Registo Cancelado,2016-09-23,www.inuaf-studia.pt,Faro,Loulé,Convento Espírito Santo
123529,Mail,"Produções Digitais Online, S.A.",Inativo,,2000-02-22,,,Diária,Registo Cancelado,2005-11-25,www.mail.pt,Coimbra,Coimbra,
123530,Teoremas de Filosofia,Joaquim Carneiro de Barros Domingues,Inativo,Papel,2000-02-22,,,Semestral,Registo Cancelado,2007-02-15,,Braga,Braga,
123531,Litoral Azul,Reme - Associação Para a Restauração do Antigo Município da Ericeira,Inativo,,2000-02-22,,,Mensal,Registo Cancelado Oficiosamente,2007-04-17,,Lisboa,Mafra,
123532,Infomanagement,"Edições Expansão Económica, Ldª",Inativo,,2000-02-22,,,Trimestral,Registo Cancelado,2005-02-01,www.mysap.com,Lisboa,Lisboa,
123533,Jornal da Moita,"Losango Mágico, Publicações e Publicidade, Lda",Inativo,Papel,2000-02-22,Regional,Informação Geral,Semanal,Registo Cancelado,2013-08-27,www.jornaldamoita.pt,Setúbal,Barreiro,Barreiro
123534,Revista Mamãs e Bébes,"(Canc.2007) Babypress - Comunicação Social, Ldª",Inativo,,2000-02-22,,,Bimestral,Registo Cancelado Oficiosamente,2007-03-07,,Lisboa,Lisboa,
123535,Academia,"Produções Digitais Online, S.A.",Inativo,,2000-02-22,,,Diária,Registo Cancelado,2000-09-04,www.academia.com,Coimbra,Coimbra,
123536,Prime Time,"PT-Prime - Soluções Empresariais de Telecomunicações e Sistemas, S.A.",Inativo,,2000-03-06,Nacional,,Trimestral,Registo Cancelado Oficiosamente,2007-09-14,www.ptprime.pt,Lisboa,Lisboa,
123537,Revista Olhares,Joaquim Luis Ribeiro Peixoto,Inativo,,2000-03-06,,,Bimestral,Registo Cancelado,2006-02-02,,Braga,Guimarães,
123539,Invista,"Pressmundo - Editora de Publicações, S.A.",Inativo,,2000-03-06,,,Mensal,Registo Cancelado,2001-10-19,,Lisboa,Lisboa,
123540,Ciclismo a Fundo,"Motor Press Lisboa - Edição e Distribuição, S.A.",Inativo,,2000-03-06,,,Mensal,Registo Cancelado,2004-07-15,,Lisboa,Oeiras,Dafundo
123541,Bebé Market,"Promercado - Marketing, Promoção e Serviços, Ldª",Inativo,Papel,2000-03-06,Nacional,,Bimestral,Registo Cancelado,2010-07-28,,Lisboa,Lisboa,
123542,"Degrau, O","Associação Recreativa Cultural e Bem-Fazer ""Vai Avante""",Inativo,Papel,2000-03-10,Regional,Informação Geral,Quadrimestral,Registo Cancelado,2013-04-08,www.vaiavante.com,Porto,Gondomar,
123543,Ruralidades,Aliança para Defesa do Mundo Rural Português - ARP,Inativo,Papel,2000-03-10,Nacional,Informação Especializada,Semestral,Registo Cancelado Oficiosamente,2009-09-17,,Coimbra,Coimbra,
123544,Cascais Magazine,Anabela Silva Amaral Souto Agostinho,Inativo,Papel,2000-03-10,,,Mensal,Registo Cancelado,2003-10-17,,Lisboa,Sintra,
123545,Terras de Meda,(Canc.2006) Radio Clube de Meda. Ldª,Inativo,,2000-03-10,,,Mensal,Registo Cancelado,2006-03-10,,Guarda,Meda,
123546,Golf  & Leisure,"My Guide - Novos Meios de Comunicação, SA",Inativo,Papel,2000-03-10,Nacional,Informação Especializada,Anual,Registo Cancelado Oficiosamente,2014-06-18,,Lisboa,Cascais,
123551,"Barreirense , o",Futebol Clube Barreirense,Inativo,,2000-03-16,,Informação Especializada,Quinzenal,Registo Cancelado,2006-08-03,,Setúbal,Barreiro,
123552,Serras da Pampilhosa,Casa do Concelho da Pampilhosa da Serra,Ativo,Papel/Online,2000-03-20,Regional,Informação Geral,Mensal,Registo Definitivo,2000-03-20,https://jornal@serrasdapampilhosa.pt,Lisboa,Lisboa,Lisboa
123553,Auto Foco,"Sociedade Vicra Desportiva, SA",Inativo,Papel,2000-03-20,Nacional,Informação Especializada,Anual,Registo Cancelado,2024-10-24,,Lisboa,Lisboa,Lisboa
123554,Jornal do Baixo Guadiana,Odiana - Associação para o Desenvolvimento do Baixo Guadiana,Inativo,Online,2000-03-24,Regional,Informação Geral,Mensal,Registo Cancelado Oficiosamente,2019-12-23,www.jornaldobaixoguadiana.pt,Faro,Castro Marim,
123555,PME & TI,Formas de Comunicar - Edições e Comunicação Ldª,Inativo,Papel,2000-03-24,,,Bimestral,Registo Cancelado,2005-11-07,www.editoracomunicar.pt,Lisboa,Oeiras,
123556,Mundo da Óptica,"Bolina Portugal, Lda",Inativo,Papel,2000-03-24,Nacional,Informação Especializada,Bimestral,Registo Cancelado,2013-02-03,,Lisboa,Oeiras,
123557,Training,Jorge Rafael dos Santos Moreira - Paulo Orlando Pires Leitão,Inativo,,2000-03-24,,,Trimestral,Registo Cancelado Oficiosamente,2007-11-21,,Lisboa,Loures,Urbº Quinta do Pinheiro
123558,DR - Direito em Revista,Madalena Maria Flora de Freitas Aguiar Trindade,Inativo,,2000-03-24,,,Trimestral,Registo Cancelado,2001-01-12,,Lisboa,Lisboa,
123559,Notícias de Lagos,"Rui Viegas, Ldª",Inativo,,2000-03-24,,,Semanal,Registo Cancelado,2000-08-02,,Faro,Lagos,
123560,Biosfera - Revista de Ambiente,"(Canc.2006) Depresseditores - Sociedade Unipessoal, Ldª",Inativo,,2000-03-24,,,Bimestral,Registo Cancelado,2000-09-04,,Lisboa,Lisboa,
123561,Audio Profissional,"(Canc.2005) Letra Inicial - Edição de Publicações Periódicas, S.A.",Inativo,,2000-03-27,,,Mensal,Registo Cancelado,2005-12-22,,Lisboa,Lisboa,
123562,CiberÁfrica,"Autor Emprestado - Produção de Informação, Ldª",Inativo,,2000-03-27,,,Diária,Registo Cancelado,2003-12-16,,Lisboa,Lisboa,
123563,Notícias Primeira Mão,Acácio Martins Marinho,Ativo,Online,2000-03-30,Regional,Informação Geral,Diária,Registo Definitivo,2000-03-30,https://www.noticiasprimeiramao.pt,Porto,Maia,Maia
123564,Lusomédica,"Giefarma - Gabinete Internacional de Estudos Farmacêuticos, Ldª",Inativo,,2000-03-30,,,Mensal,Registo Cancelado,2000-08-02,,Lisboa,Oeiras,Cruz Quebrada
123565,"Voz Social , a",IAC - Instituto de Apoio à Comunidade do Forte da Casa,Inativo,Papel,2000-03-30,Regional,,Trimestral,Registo Cancelado Oficiosamente,2009-02-20,,Lisboa,Vila Franca de Xira,
123566,Anuário da Comunicação,Obercom - Observatório da Comunicação,Inativo,Online,2000-03-30,Nacional,Informação Especializada,Anual,Registo Cancelado Oficiosamente,2019-05-31,www.obercom.pt,Lisboa,Lisboa,
123567,Hole One,"(Canc.2007) Tomás Amaral - Edições e Publicidade, Ldª",Inativo,,2000-03-30,,,Bimestral,Registo Cancelado Oficiosamente,2007-03-07,,Lisboa,Lisboa,
123568,Nautisport,Carlos José Seromenho Marques,Inativo,,2000-03-30,,,Bimestral,Registo Cancelado,2000-08-02,,Lisboa,Oeiras,
123569,Ambientes de Festa,"Pronupcias - Edições, Comunicação e Eventos, Lda.",Inativo,Papel,2000-03-30,Nacional,Informação Especializada,Semestral,Registo Cancelado Oficiosamente,2018-08-17,,Porto,Porto,Porto
123570,"Diabetes, Obesity & Metabolism","Publiciencia - Revistas e Congressos Unipessoal, Lda",Inativo,Papel,2000-03-31,Nacional,,Trimestral,Registo Cancelado,2009-02-11,,Lisboa,Lisboa,
123571,International Journal of Dermatology,"Revismédica - Revistas Médicas e Congressos, Ldª",Inativo,,2000-03-31,,,Trimestral,Registo Cancelado,2004-03-25,,Lisboa,Lisboa,
123572,"Povo Bracarense , o","Ribeiro - Panfletos e Publicidade, Ldª",Inativo,,2000-04-04,,,Semanal,Registo Cancelado Oficiosamente,2007-05-29,,Braga,Póvoa de Lanhoso,"R. Justino Cruz, 10 - 2º - S. 5"
123573,Jornal da Asma,"JAS Farma - Comunicação, Lda.",Inativo,,2000-04-04,,,Anual,Registo Cancelado Oficiosamente,2007-05-29,,Lisboa,Lisboa,Edº Atrium Saldanha
123574,What´s on in Madeira,"Publiotel - Empresa de Publicações Turísticas Hoteleiras, Sociedade Unipessoal, Lda.",Inativo,,2000-04-13,,,Mensal,Registo Cancelado,2005-06-22,,Lisboa,Lisboa,
123575,What´s on in Oporto,"Publiotel - Empresa de Publicações Turísticas Hoteleiras, Sociedade Unipessoal, Lda.",Inativo,,2000-04-13,,,Mensal,Registo Cancelado,2005-06-22,,Lisboa,Lisboa,
123576,Off Side,"Bit - Sociedade Editora, Lda.",Inativo,,2000-04-13,,,Semestral,Registo Cancelado,2006-06-02,,Lisboa,Lisboa,
123577,Que Carro Comprar,"Motor Press Lisboa - Edição e Distribuição, S.A.",Inativo,,2000-04-13,,,Mensal,Registo Cancelado,2004-07-15,,Lisboa,Oeiras,Cruz Quebrada
123578,Jornal de Ermesinde,Associação para o Desenvolvimento Integrado da Cidade de Ermesinde,Inativo,Online,2000-04-13,Regional,Informação Geral,Trimestral,Registo Cancelado,2013-09-02,,Porto,Gondomar,
123538,Imoguia,"Publicorgo - Produções de Livros, Revista e Jornais Publicitários, Ldª",Inativo,,2000-04-14,,,Mensal,Registo Cancelado,2004-03-25,,Porto,Matosinhos,Lavra
123579,"Arcuense , o",Maria de Lurdes Ferreira Gonçalves,Inativo,,2000-04-17,,,Quinzenal,Registo Cancelado,2003-12-03,,Viana do Castelo,Arcos de Valdevez,
123580,Figueira Magazine,Francisco Manuel Pinto Duarte,Inativo,,2000-04-17,,,Mensal,Registo Cancelado,2006-03-10,,Coimbra,Figueira da Foz,
123581,Interweb,"Impala Editores, S.A.",Inativo,,2000-04-17,,,Mensal,Registo Cancelado Oficiosamente,2007-03-14,www.impala.pt,Lisboa,Sintra,Ranholas
123582,Super Elite,"Caneta Electrónica - Edições Multimédia, SA",Inativo,,2000-04-17,,,Diária,Registo Cancelado Oficiosamente,2007-07-19,,Lisboa,Lisboa,
123583,Essential Algarve,"Open Media - Design e Publicações, SA",Ativo,Papel,2000-04-17,Regional,Informação Especializada,Bimestral,Registo Definitivo,2000-04-17,,Faro,Lagoa (Algarve),Lagoa
123584,Correio Português,Augusto Duarte Rozeira de Mariz,Inativo,Papel,2000-04-17,Nacional,,Mensal,Registo Cancelado Oficiosamente,2008-12-17,,Coimbra,Coimbra,
123585,Revista Imobiliária,"Comreg - Comunicação Regional, Ldª",Inativo,,2000-04-18,,,Mensal,Registo Cancelado,2004-03-25,,Setúbal,Almada,Aroeira
123586,"Grés , o","Ponto de Informação - Projectos de Comunicação,  Ldª",Inativo,,2000-04-18,,,Mensal,Registo Cancelado,2006-03-10,,Faro,Silves,
123587,Jornal do Vale do Tejo,Joaquim António Antunes Emídio e Maria de Fátima Franco Salgado Emídio,Inativo,Papel,2000-04-18,Regional,Informação Geral,Semanal,Registo Cancelado,2003-10-27,,Santarém,Chamusca,
123588,Notícias da Cidade,"HECI - Sociedade de Mediação Imobiliária, Ldª",Inativo,Papel,2000-04-19,Regional,Informação Geral,Semanal,Registo Cancelado,2005-12-13,,Leiria,Leiria,Quinta do Bispo
123589,"Pinhalnovense , o","Pinhalmédia Informação Pura - Sociedade de Comunicação e Ideias, Ldª",Inativo,,2000-04-19,,,Semanal,Registo Cancelado,2006-02-02,,Setúbal,Palmela,
123590,Voxpop,"Valentim de Carvalho - Comércio e Indústria, S.A.",Inativo,,2000-04-19,,,Mensal,Registo Cancelado,2005-12-13,,Lisboa,Lisboa,
123591,Terras do Homem,Araceli Francisca Martin Sabor,Ativo,Papel/Online,2000-05-03,Regional,Informação Geral,Quinzenal,Registo Definitivo,2000-05-03,www.terrasdohomem.pt,Braga,Braga,Braga
123592,Alternatura,Marcello Macedo Duarte,Inativo,,2000-05-03,,,Mensal,Registo Cancelado,2003-12-03,,Lisboa,Lisboa,
123593,Espaços Verdes,"About Media - Comunicação, Lda.",Inativo,,2000-05-04,,,Trimestral,Registo Cancelado,2005-07-25,,Lisboa,Lisboa,
123594,Infância e Educação - Investigação e Práticas,GEDEI - Grupo de Estudos para o Desenvolvimento da Educação de Infância,Inativo,Papel,2000-05-04,,,Semestral,Registo Cancelado Oficiosamente,2007-09-14,,Lisboa,Lisboa,
123595,Selectiva,António Manuel Amaral Andrade Rocha Antunes,Inativo,,2000-05-04,,,Bimestral,Registo Cancelado,2004-10-21,,Coimbra,Coimbra,
123596,Exponor News,Exponor - Associação dos Parques de Exposição do Norte,Inativo,,2000-05-05,,,Mensal,Registo Cancelado,2004-03-29,www.exponor.pt,Porto,Matosinhos,Exponor - Feira Internacional do Porto
123597,B (de Brasil),"Turista Acidental - Edições, Ldª",Inativo,Papel,2000-05-05,Nacional,,Semestral,Registo Cancelado Oficiosamente,2011-07-15,,Lisboa,Cascais,
123598,Cabovisão Magazine,"Cabovisão - Televisão por Cabo, S.A.",Inativo,,2000-05-05,,,Mensal,Registo Cancelado,2001-04-02,,Lisboa,Lisboa,
125299,Ensino & Ciência,"Scripsigest, Lda",Inativo,Papel,2000-05-05,Nacional,,Mensal,Registo Cancelado Oficiosamente,2011-07-15,,Lisboa,Lisboa,
123599,Newsletter IPG Ambiente,"PLA - Planeamento e Gestão do Ambiente, Ldª",Inativo,,2000-05-11,,,Trimestral,Registo Cancelado,2006-03-10,,Lisboa,Lisboa,
123601,Anuário do Desenvolvimento Rural,"(Canc.2005) Marktejo - Sociedade de Marketing e Estudos de Mercado, Ldª",Inativo,,2000-05-18,,,Anual,Registo Cancelado,2005-11-10,www.marktejo.pt/anuario.rural,Setúbal,Almada,
123602,Disney Mania,"Abril-Controljornal - Editora, Ldª",Inativo,,2000-05-19,,,Mensal,Registo Cancelado,2004-10-28,,Lisboa,Oeiras,
123603,Disney Princesas,"Abril-Controljornal - Editora, Ldª",Inativo,,2000-05-19,,,Mensal,Registo Cancelado,2004-10-28,,Lisboa,Oeiras,
123604,Série Ouro,"Edimpresa - Editora, Lda",Inativo,Papel,2000-05-19,,,Mensal,Registo Cancelado Oficiosamente,2007-05-29,,Portalegre,Arronches,
123605,"Tecnipão - Revista Técnica da Panificação, Pastelaria e Confeitaria","Livrotexto - Publicações e Publicidade, Ldª",Inativo,,2000-05-19,,,Semestral,Registo Cancelado,2004-03-25,,Lisboa,Lisboa,
123606,"Tecnifruta - Revista Técnica de Frutas, Legumes e Flores","Livrotexto - Publicações e Publicidade, Ldª",Inativo,,2000-05-19,,,Semestral,Registo Cancelado,2001-01-24,,Lisboa,Lisboa,
123607,Pessoas e Lugares,"INDE - Organização Cooperativa para a Intercooperação e o Desenvolvimento, C.R.L.",Inativo,,2000-05-19,,,Mensal,Registo Cancelado,2005-11-25,,Lisboa,Lisboa,
123608,Madeira Island Magazine,Vítor Maurício Vieira Nunes,Ativo,Papel/Online,2000-05-26,Regional,Informação Especializada,Bimestral,Registo Definitivo,2000-05-26,https://issuu.com/madeiramagazine,Ilha da Madeira,Funchal,Funchal
123609,"Meu Jornalzinho , o","(Canc.2005) Cidades & Municípios Editora, Ldª",Inativo,,2000-05-26,,,Mensal,Registo Cancelado,2005-11-18,,Portalegre,Gavião,
123610,"Desportivo de Montijo , o",Clube Desportivo de Montijo,Inativo,,2000-06-05,,,Bimestral,Registo Cancelado,2006-03-10,,Setúbal,Montijo,
123611,Lux,"Masemba, Lda.",Ativo,Papel,2000-06-05,Nacional,Informação Especializada,Semanal,Registo Definitivo,2000-06-05,www.lux.iol.pt,Lisboa,Oeiras,Carnaxide
,Pretextos,"Instituto da Segurança Social, I.P.",Inativo,Online,2000-06-07,Nacional,Informação Geral,Trimestral,Anotação Cancelada,2014-09-30,www.seg-social.pt,Lisboa,Lisboa,
123600,Cencal in Form@ção,Cencal - Centro de Formação Profissional para a Indústria Cerâmica,Inativo,Papel,2000-06-08,Regional,Informação Especializada,Trimestral,Registo Cancelado Oficiosamente,2008-10-10,www.cencal.pt,Leiria,Caldas da Rainha,Apartado 39
123612,Mensageiro do Tejo,"Gazeta do Tejo - Comunicação Social, Ldª",Inativo,,2000-06-09,,,Mensal,Registo Cancelado,2005-01-14,,Santarém,Vila Nova da Barquinha,
123613,Mais Alentejo,José António Biléu Sancho,Ativo,Papel/Online,2000-06-12,Regional,Informação Geral,Bimestral,Registo Definitivo,2000-06-12,https://www.revistamaisalentejo.com,Évora,Évora,Évora
123614,"Voz da Quinta do Conde , a",Ana Maria da Silva Teixeira Alves Tomé e Vanda Cristina Baeta Dias Pinto Freitas,Inativo,,2000-06-12,,,Mensal,Registo Cancelado,2001-04-05,,Setúbal,Barreiro,
123615,Administração Pública Portuguesa - Quem é Quem,Fernando Mário da Silva Camacho Sá,Inativo,,2000-06-12,,,Anual,Registo Cancelado,2006-02-02,,Lisboa,Odivelas,
123616,Fleet News,"Itelcar - Automóveis de Aluguer, S.A.",Inativo,,2000-06-12,,,Trimestral,Registo Cancelado,2006-03-03,,Lisboa,Cascais,
123617,Campo & Mar,Carlos José Seromenho Marques,Inativo,,2000-06-12,,,Trimestral,Registo Cancelado,2003-12-16,,Lisboa,Oeiras,
123618,Loud!,"Metal Alma Publicações, Lda",Inativo,Papel,2000-06-16,Nacional,,Mensal,Registo Cancelado Oficiosamente,2014-10-20,,Lisboa,Lisboa,
123619,Agenda Cultural,"Edições Arrábida, Lda.",Inativo,,2000-06-19,,,Mensal,Registo Cancelado,2000-12-05,,Lisboa,Lisboa,
123620,Tinta Fresca,Mário Américo Gaspar Lopes,Ativo,Online,2000-06-19,Regional,Informação Geral,Diária,Registo Definitivo,2000-06-19,www.tintafresca.net,Leiria,Alcobaça,Lagoa do Cão
123621,Cadernos da Tradição,"Hugin Editores, Ldª",Inativo,,2000-06-19,,,Semestral,Registo Cancelado,2006-03-10,,Lisboa,Lisboa,
123622,Imo-Imagens,"Página Colorida - Edições Comerciais e Publicidade, Ldª",Inativo,,2000-06-20,,,Mensal,Registo Cancelado,2006-02-02,,Lisboa,Lisboa,
123623,Politécnica,C.E.P. - Cooperativa de Ensino Politécnico CRL,Ativo,Online,2000-06-20,Regional,Informação Especializada,Anual,Registo Definitivo,2000-06-20,http:/hdl.handle.net/10400.26/31532,Porto,Vila Nova de Gaia,Vila Nova de Gaia
123624,Gastronomia,"Edições Expansão Económica, Ldª",Inativo,,2000-06-21,,,Mensal,Registo Cancelado,2000-10-10,,Lisboa,Lisboa,
123625,Desporto Digital,"Caneta Electrónica - Edições Multimédia, SA",Inativo,,2000-06-29,,,Diária,Registo Cancelado Oficiosamente,2007-07-19,www.desportodigital.pt,Lisboa,Lisboa,
123626,Casaàvenda,"Concept Image - Estudio de Artes Gráficas, Ldª",Inativo,,2000-06-30,,,Mensal,Registo Cancelado,2004-01-15,,Porto,Maia,
123627,Business.Com,"(Canc.2005) Editora Comunicar com Letras, Ldª",Inativo,,2000-06-30,,,Mensal,Registo Cancelado,2005-10-24,,Lisboa,Lisboa,
123628,Cardápio - Saber Viver,"Meribérica-Liber - Editores, Lda.",Inativo,Papel,2000-06-30,Nacional,,Mensal,Registo Cancelado Oficiosamente,2012-02-15,,Lisboa,Lisboa,
123629,Chafariz,"Empresa Editorial do Vale do Sousa, Lda",Inativo,,2000-06-30,,,Semanal,Registo Cancelado,2005-05-25,,Aveiro,Castelo de Paiva,Sobrado
123630,Skin Cancer,Associação Portuguesa do Cancro Cutaneo,Inativo,Papel,2000-07-04,Nacional,,Trimestral,Registo Cancelado Oficiosamente,2008-12-05,,Lisboa,Lisboa,
123631,Voz da Terra,Confederação Nacional de Agricultura - CNA,Ativo,Papel,2000-07-06,Regional,Informação Geral,Bimestral,Registo Suspenso,2026-04-08,www.cna.pt,Coimbra,Coimbra,Coimbra
